Review,Sentiment,Polarity
"The food was still nice and hot, only thing I wasn't happy with was the chicken was original recipe and it was supposed to be extra crispy but that was npt due to the Uber driver, it was the restaurant. So the Uber was a perfect 5 and the restaurant was a 3/5.",Positive,0.4278
Tasted fresh,Positive,0.3182
Muy bueno,Neutral,0.0
Driver never dropped off food or attempted to. He drive right past my place and instantly put as delivered,Neutral,0.0
still very warm,Positive,0.2263
"Very quick about the order, got here before expected!",Neutral,0.0
"Causal, fast, and fresh.",Positive,0.3182
good food,Positive,0.4404
Missing the sauce but delicious,Positive,0.3612
Bomb,Negative,-0.4939
Great communication ahead of time :),Positive,0.6249
Really good!,Positive,0.4927
amazing and made perfectly,Positive,0.8402
loved it,Positive,0.5994
It tastes fresh and warm,Positive,0.4939
great,Positive,0.6249
"Fast delivery, best food condution",Positive,0.6369
yay,Positive,0.5267
Quick! And polite,Neutral,0.0
the delivery driver was great,Positive,0.6249
Really nice,Positive,0.4754
love the bigmac,Positive,0.6369
Perfect order,Positive,0.5719
It’s soo,Neutral,0.0
Great service the order was delivered early!,Positive,0.6249
Driver was great,Positive,0.6249
Fresh,Positive,0.3182
美味,Neutral,0.0
Fast,Neutral,0.0
"Fast, and friendly!!",Positive,0.4939
Food was prepared neatly and arrived warm,Positive,0.6369
So good!,Positive,0.4404
It was good,Positive,0.4404
Gyro bowl slaps.,Positive,0.1531
superb as always!,Positive,0.6249
Looking for something different and good? I choose Nick The Greek.,Positive,0.4404
"Delicious, excellent.",Positive,0.8126
tasty,Neutral,0.0
Fire,Negative,-0.34
My daughter loves it,Positive,0.6369
"good quality, affordable, and good portions",Positive,0.7003
excellent and healthy options!,Positive,0.7506
bowls are the best deals!,Positive,0.6369
Nick is super yummy and relatively cheap,Positive,0.8074
Wu I,Neutral,0.0
Loved it!,Positive,0.5994
Always Amazing and Never disappoint,Positive,0.7234
He was really nice and got here quickly!,Positive,0.4754
It's good,Positive,0.4404
Amazing!,Positive,0.5859
delicious and fresh,Positive,0.7184
Fair price with stable quality,Positive,0.5423
It came hot & delicious,Positive,0.5719
The Detroit style pizza is fantastic!,Positive,0.5574
"good food, delivered hot.",Positive,0.4404
na,Neutral,0.0
The pizza was great,Positive,0.6249
Great food!,Positive,0.6249
dumplings in broth is the best when you don't feel good!,Positive,0.4929
awesome flavor and portions good!,Positive,0.7906
Good food and very filling.,Positive,0.4404
Plenty of food and so delicious,Positive,0.5719
Great Food!,Positive,0.6249
"Expensive but the food is so delicious, best Indian food I've ever had.",Positive,0.836
Always very tasty Indian Food!,Neutral,0.0
Great Indian Food!,Positive,0.6249
The rice mixed with Basil chicken curry is the best Asian Indian taste adding with roti prata. I recommend newcomers to try this satisfying taste.,Positive,0.8658
The food was delicious,Positive,0.5719
Very tasty food! Always good.,Positive,0.4404
"Great Food, Every Time!",Positive,0.6249
Super delicious!,Positive,0.8225
Great Indian Food Choices!,Positive,0.6249
Yay! I got what I ordered! YAY! YAY!!!,Positive,0.8807
Fresh food !,Positive,0.3182
Very good,Positive,0.4404
"Despite the mark-up price on Uber Eats in Davis, they make their stuff good",Positive,0.4404
Best food I had in Davis until now,Positive,0.6369
I got everything in my order. I am happy.,Positive,0.5719
crispy,Neutral,0.0
Wonderful flavor and lit delivery,Positive,0.5719
Fast and friendly service,Positive,0.4939
Very nice flavor,Positive,0.4215
Taco,Neutral,0.0
Tacos,Neutral,0.0
Thanks for the extras!,Positive,0.4404
Always a great burger.,Positive,0.6249
Food was very fresh and tasty.,Positive,0.3182
"It's always good but tonight a bit spicier than usual, definitely delicious",Positive,0.8519
Food is so good! Fried shrimp balls are amazing!,Positive,0.7717
Big portions and yummy,Positive,0.5267
"There wings are soooo good, a must have EVERYTIME!",Positive,0.4404
<3 yum! Glad to find some dim sum in town,Positive,0.4588
"not pricy, high quality",Neutral,0.0
"Dedicated and caring staff pulling their weight during the night shift which is rough to say the least, they all were very nice. They deserve raises",Positive,0.5951
very quick and cheap,Neutral,0.0
Budget conbo!,Neutral,0.0
Always amazing burgers!,Positive,0.5859
Always amazing burgers,Positive,0.5859
"No problems, super fast service",Positive,0.296
He was really nice!,Positive,0.4754
Tastes good!,Positive,0.4404
Delicious as always,Positive,0.5719
fast,Neutral,0.0
The best,Positive,0.6369
Amazing burgers as always!,Positive,0.5859
Amazing nuggets as always!,Positive,0.5859
Best burgers and amazing nuggets!,Positive,0.8402
"yummy food and got all the things I ordered, still warm",Positive,0.6486
Amazing! Food still so hot. Arrived quick!! Wow!!,Positive,0.8225
best pizza I’ve had,Positive,0.6369
Cjeesy bread is sooo yummy,Positive,0.5267
Yummy yummy yummy,Positive,0.8807
Excellent,Positive,0.5719
"Blaze pizza is always fantastic! Very tasty, superbly fresh, with great crust!! It’s awesome that they started making full-size large pizzas. Give it a try!",Positive,0.9337
great pizza,Positive,0.6249
She rang the doorbell and gave me my food with a smile.,Positive,0.3612
Tasty,Neutral,0.0
好吃,Neutral,0.0
Hot and fresh,Positive,0.3182
Yummy. The counter staff at this location were very nice.,Positive,0.7351
Extremely delicious!,Positive,0.6115
I ❤️❤️ it!!,Neutral,0.0
Deserts are out of the world tasty,Neutral,0.0
Delicious and quick. Thank you!,Positive,0.7351
Love it,Positive,0.6369
Good food!,Positive,0.4404
SOOOOO FAST!!,Neutral,0.0
Yummy!,Positive,0.5267
Good sushi for a great price,Positive,0.7906
"Delicious, good temperature, great quality",Positive,0.8934
Burgers and servings are the perfect size,Positive,0.5719
chicken over rice was the best. don't forget to add all sauces,Positive,0.7065
Delcious food with quick service,Neutral,0.0
He was spot on. Great service!,Positive,0.6249
Awesome,Positive,0.6249
Smell great and definitely tastes good too,Positive,0.8658
Best pizza in davis,Positive,0.6369
very good,Positive,0.4404
All time favorite kickin carnitas,Positive,0.4588
Food was tasty and it was fresh the time to make was fast too,Positive,0.3182
Best pizza in town,Positive,0.6369
Omg I'm from Michigan and the pizza is the best I've ever had. A bit pricey but splurge you won't regret it!,Positive,0.7602
"Everything is delicious! Hot and sour soup, chow main and orange chicken are so good!",Positive,0.765
All the food is delicious but my recommendation is there  honey  walnut shrimp,Positive,0.5719
The food is amazing,Positive,0.5859
The food was super amazing just maybe throw some soy sauce or sweet and sour for extras,Positive,0.8934
Flavours are perfect! Chow mein was fire,Positive,0.3182
Absolutely delicious!!,Positive,0.6115
BEST EVER,Positive,0.6369
I wish you would have included soy sauce,Positive,0.4019
Love the Cajun shrimp!,Positive,0.6369
Great,Positive,0.6249
Awesome portions thank you,Positive,0.765
best chinese out here,Positive,0.6369
Shrimp was cooked fresh and delicious,Positive,0.7184
Ordered from Uber Eats and service was quick!,Neutral,0.0
"Pork fried rice was good, the portions were larger than anticipated",Positive,0.4404
Yummy flavors,Positive,0.5267
"Every thing I’ve order is really good, even when I have it delivered, it’s always fresh",Positive,0.6697
FRESH AND DELICIOUS,Positive,0.7184
Never disappoints,Positive,0.2924
Best Chinese food in Sacramento,Positive,0.6369
Love it! FAST Delivery bye bye door dash!,Positive,0.6369
Best Cantonese food I’ve had in a while,Positive,0.6369
always the best quality and it's always steaming when you get it. foil chicken is the best in Sacramento,Positive,0.8555
Delicious and wonderful,Positive,0.8126
Quick easy service. Good food and large portions.,Positive,0.7003
Amazingly good,Positive,0.4927
All the food was on point!,Neutral,0.0
Quick & delicious,Positive,0.5719
good asian food,Positive,0.4404
Cool,Positive,0.3182
Delicious 😋,Positive,0.5719
always good,Positive,0.4404
Fast delivery food still hot,Neutral,0.0
Best Chinese around. Always great food!,Positive,0.8519
Amazing,Positive,0.5859
great!,Positive,0.6249
Great and fresh,Positive,0.7506
Orange chicken is always perfect!,Positive,0.5719
"Respectful,  friendly and on time.",Positive,0.7351
Food is always good and quick,Positive,0.4404
Food was hot and fresh!,Positive,0.3182
"He’s great, an amazing worker you guys have in your hands, super friendly and called when he wasn’t sure where to go, loved it!",Positive,0.9336
"Wow, food was FANTASTIC and very affordable. New favorite Chinese place!",Positive,0.886
delicious exactly the right amount of spices,Positive,0.5719
Food is always delicious.,Positive,0.5719
amazing food!!!,Positive,0.5859
"The best food,",Positive,0.6369
Loved the tofu,Positive,0.5994
Great quality and amazing taste. Delivery got delayed but worth the wait!,Positive,0.836
Very Good!,Positive,0.4404
Love the Orange Chicken 🥰🥰🥰,Positive,0.6369
Great portions,Positive,0.6249
Very good food,Positive,0.4404
"Best Chinese food in Sacramento, they never disappoint me.",Positive,0.7549
"Convince of great Uber delivery, tastie Wonton soup Plus. Great ful need warm delicious food especially  not feeling going out..",Positive,0.9485
"Everything hot, everything fresh. Will DEFINITELY order from Golden Dragon again!",Positive,0.6124
Yummy food,Positive,0.5267
Boom good food,Positive,0.4404
Great chinese food,Positive,0.6249
"hasn't messed up an order and always quick, high quality food always worth the price.",Positive,0.4471
So good and hot,Positive,0.4404
Portion size is amazing.,Positive,0.5859
delicious will order again,Positive,0.5719
Best rice in town,Positive,0.6369
Deluxe  vegetable dish very good,Positive,0.4404
Quality food,Neutral,0.0
Was the best meal I’ve had in the US so far - Bao buns fabulous,Positive,0.8225
Everything I received was 10/10,Neutral,0.0
The Rice Was Delicious. The Noodles Was  The Best. Love That They Put Bean Spouts & Celery In The Great Tasty Noodles. Now The Sweet & Sour Was An 8. It Needed To Be A Little More Taste To It. I Will Be Ordering From Here In The Future And Recommend It To Friends And Family.,Positive,0.9774
gooooood,Neutral,0.0
Chinese great! You were delivered quickly and courteously,Positive,0.6249
Best,Positive,0.6369
Dang! is that Dal good!!!!,Positive,0.4404
The spice and heat was just like I like it.The fish was something special!,Positive,0.7717
Fast efficient delivery. Delicious food!,Positive,0.7579
The chicken korma is always awesome!,Positive,0.6249
Super good!,Positive,0.7783
Best veg samosas ever tonight.,Positive,0.6369
Always good!,Positive,0.4404
I Had the wrong address and he brought it to me still! Great service!,Positive,0.25
My favorite restaurant. Large portions and high quality food!,Positive,0.4588
"Delicious, everything was as ordered. Thanks.",Positive,0.765
Best Indian food in Sac,Positive,0.6369
Good food. Uber was fast and on time.,Positive,0.4404
Yummy food  yum yum yum,Positive,0.5267
Delicious stuff!,Positive,0.5719
Best Indian food,Positive,0.6369
"well prepared , tasty !",Positive,0.4588
Best Indian food!,Positive,0.6369
delicious food. and we got extra rice for free.,Positive,0.7906
Everything is delicious. Bombay never misses!,Positive,0.6303
your tandoori chicken it's the best!,Positive,0.6369
Delicious as always.,Positive,0.5719
Spicy,Neutral,0.0
Always a solid choice!,Positive,0.1531
Loved the food,Positive,0.5994
It tasted great,Positive,0.6249
Great food!!,Positive,0.6249
Exquisite and Super Yummy....,Positive,0.8074
"Very good and flavorful, always hits the spot.",Positive,0.4404
Always Amazing ❤️,Positive,0.5859
Food is amazing.,Positive,0.5859
"Very tasty Indian food! Was craving Malai Kofta, and Bombay Bar & Grill delivered - thank you!",Positive,0.3612
Food was great. Driver/delivery person was wonderful.,Positive,0.8316
Fast!,Neutral,0.0
"Fresh, great flavor!!",Positive,0.7506
Very good butter chicken and garlic naan.,Positive,0.4404
Delicious food. Fast delivery,Positive,0.5719
food was delicious and warm and perfect,Positive,0.8519
Best!,Positive,0.6369
"Consistently delicious, generous portions on mains, speedily ready.",Positive,0.8591
"This is one of thee best Indian spots!!! Love their vegan options and the flavor it soooo good. I love to go in person but when we can’t, takeout is always fast and just as delish.",Positive,0.9477
Very good person,Positive,0.4404
"Consistent great cooking, always yummy.",Positive,0.8176
im never disappointed by Bombay bar and grill everything is delicious,Positive,0.7394
So so flavorful! The portions are big as well. I have not been disappointed with this place!,Negative,-0.25
great taste,Positive,0.6249
fresh food,Positive,0.3182
"Great food, fast delivery",Positive,0.6249
Always consistently yummy and fresh!!,Positive,0.6908
Delicious Indian cuisine!,Positive,0.5719
The dal was very tasty and the rice was cooked perfectly.,Positive,0.6369
"Great food,  evertime!",Positive,0.6249
Authentic,Neutral,0.0
Great Indian food,Positive,0.6249
Always amazing,Positive,0.5859
amazing flavor,Positive,0.5859
So flavorful and filling! Everything that I've had is delicious!,Positive,0.5719
Perfect!,Positive,0.5719
Always down for some Butter Chicken.,Neutral,0.0
Mmmmmmmmmmmm,Neutral,0.0
Tasty and large portions!,Neutral,0.0
Chicken was really good and tasty and fries were really crispy. I just hope the added a  lettuce and pickles on the chicken burger.,Positive,0.7485
Great service,Positive,0.6249
Tastes great,Positive,0.6249
The chicken was good as usual.,Positive,0.4404
very good food,Positive,0.4404
Best fried chicken,Positive,0.6369
"Great service. Got my order in record time. Nice, fresh, hot!!",Positive,0.8481
everything was good except the sprite,Positive,0.4404
Food nice n hot,Positive,0.4215
great food,Positive,0.6249
outstanding,Positive,0.6124
"Good deals, classic taste",Positive,0.4404
Delicious cooked to perfection nice and crispy best nuggets we've ever had.,Positive,0.9371
Perfection 💯,Positive,0.5719
The delivery driver was awesome!,Positive,0.6249
Very best service,Positive,0.6369
Quick and good,Positive,0.4404
Crispy yet moist and tender,Neutral,0.0
Good food and service,Positive,0.4404
Ghost pepper hot wings,Negative,-0.3182
amazing food,Positive,0.5859
Delicious spicy chicken sandwich and tenders.,Positive,0.5719
Thank fully all the items were in the bag !,Positive,0.3612
Lwas some of the best Popeyes I've had it was great,Positive,0.8519
Food was good.,Positive,0.4404
Great pizza!,Positive,0.6249
Best driver I've ever had,Positive,0.6369
Tasty and delicious pizza,Positive,0.5719
Yummy and fresh,Positive,0.6908
The pizza here is great!,Positive,0.6249
It was tasty and delicious,Positive,0.5719
Love it!!!!!,Positive,0.6369
Large sushi rolls of AMAZING quality.,Positive,0.5859
Consistently great quality food,Positive,0.6249
really good sushi and gave us extra cake 🥹,Positive,0.4927
"Best sushi in Davis, hands down these guys are awesome!",Positive,0.91
great sushi at fair price,Positive,0.7506
Super yummy,Positive,0.8074
Very Tasty!,Neutral,0.0
Sweeten my whole day,Neutral,0.0
The gluten free cookie was really good! Great ingredients and delicious dessert.,Positive,0.939
Amazingly good!! Love these,Positive,0.8258
"Delicious, Tasty and Savory",Positive,0.5719
Yummy cookies. Fast delivery.,Positive,0.5267
Very fast!,Neutral,0.0
"Order comes within 20 mins, good portion and good food",Positive,0.7003
Super nice great person!,Positive,0.8957
ate,Neutral,0.0
Papa John's is simply another level of pizza. I've never had an undercooked or greasy pizza from here. Only the best.,Positive,0.6369
Super sweet!!,Positive,0.7845
Pizza is amazing,Positive,0.5859
Amazing pizza. Staff was friendly,Positive,0.7906
"Fresh, hot and as ordered",Positive,0.3182
good pizza .,Positive,0.4404
muy bueno,Neutral,0.0
Driver great food good,Positive,0.7906
the pizza was phenomenal,Neutral,0.0
I really enjoyed the food thanks for dropping the food off to the driver. Thanks to the employee for making it.,Positive,0.8726
did a good job,Positive,0.4404
Everything was accurate and no issues at all.,Neutral,0.0
Always delishous!,Neutral,0.0
Hot Fresh and made the way we ordered,Positive,0.3182
Simple and quick. Just how it should be. Thanks 😊,Positive,0.4404
Perfect deli sandwich,Positive,0.5719
Always Good Food!,Positive,0.4404
Great Burgers!,Positive,0.6249
Always good burgers!,Positive,0.4404
Always Good Food,Positive,0.4404
Everything was Good!,Positive,0.4404
you can never go wrong with Applebee's they always do good I'm never disappointed always a great choice,Positive,0.5739
Good Ribs!,Positive,0.4404
Good Burgers!,Positive,0.4404
Good Food,Positive,0.4404
The food has a very good taste! Better than what you expect! Thanks!,Positive,0.8271
Delicious 🤤,Positive,0.5719
He got here early! 🥹,Neutral,0.0
Great flavor and high quality ingredients!,Positive,0.6249
Great Taco Bowl,Positive,0.6249
very good salsa,Positive,0.4404
Delicious chicken tacos and refried beans.,Positive,0.5719
Great burritos.,Positive,0.6249
First time. I got a free burrito and it was yummy!,Positive,0.7717
quick delivery and food was hot ☺️,Neutral,0.0
Los cocineros mejores del campo,Neutral,0.0
first time trying it had very great flavor more than enough of food for the great price it was,Positive,0.8481
"Good food, prepared and packed well.\nDelivered earlier than estimated time, by a caring and courteous driver.  Great experience!",Positive,0.9371
Food was ready to be picked up pronto!,Positive,0.3612
Queso tacos 🌮 are delicious,Positive,0.5719
Great flavors and quality ingredients.,Positive,0.6249
Fresh and great flavor,Positive,0.7506
I had the asada burrito and it was great!,Positive,0.6249
Always good and fresh.,Positive,0.6369
Delicious carnitas burrito; the two for one deal is awesome.,Positive,0.8316
Amazing burritos.,Positive,0.5859
always great,Positive,0.6249
"Excellent tacos, very delicious.",Positive,0.8126
Best Mexican food in town!,Positive,0.6369
Amazeballs,Neutral,0.0
Food is always delicious,Positive,0.5719
Best Mexican food around,Positive,0.6369
Tacos were bomb,Negative,-0.4939
Carne asada tacos were bomb. They didn’t skimp on meat either. Spicy salsa has a good kick,Negative,-0.0772
This is the best tasting Mexican food I've ever had,Positive,0.6369
Love it!,Positive,0.6369
rico,Neutral,0.0
Everything was so good and the sauces were the perfect amount of spicy and good amount of food for the price,Positive,0.8591
"Excelente comida, Sabor y porción !!",Neutral,0.0
Dope tacos!!!,Neutral,0.0
Perfect seasonings on tacos. And love the salsa.,Positive,0.836
The best!!,Positive,0.6369
food was delicious,Positive,0.5719
My burrito 🌯 was hella good,Positive,0.4927
The food was super good. The portion size was really big and who can go wrong with free chips,Positive,0.7741
Muy bien,Neutral,0.0
We like their burritos and street tacos.,Positive,0.3612
"Consistently delicious burritos and street tacos, with excellent portion sizes. Delivery is reliable and packaged securely.",Positive,0.8689
Ty,Positive,0.3818
Favorite place to grab a burrito,Positive,0.4588
Best burritos,Positive,0.6369
Always delicious,Positive,0.5719
Great to taste,Positive,0.6249
Can’t wait to try it!!!,Neutral,0.0
very affordable,Neutral,0.0
love,Positive,0.6369
Great taste,Positive,0.6249
The torta is one of the best I've ever had!,Positive,0.6369
Excellent food.,Positive,0.5719
This place is perfect every time.,Positive,0.5719
Bomb burritos,Negative,-0.4939
Always yummy food,Positive,0.5267
Really good food,Positive,0.4927
delicious,Positive,0.5719
So yummy,Positive,0.5267
Shrimp taco salad was awesome! Even with the spicy sauce. And spicy level is - 100!,Positive,0.6249
¡Delicioso!,Neutral,0.0
great foid,Positive,0.6249
This was actually pretty nostalgic as I've remembered! I loved going there until I moved out of West Sacramento and the quality is still great!,Positive,0.9042
Bomb!,Negative,-0.4939
Healthy and tasty!,Positive,0.4019
Very good mexican food,Positive,0.4404
Fresh flavorful juus absolutely amazing,Positive,0.7501
Go to burrito place!,Neutral,0.0
"great experience, tasty salsa",Positive,0.6249
Lengua tacos are the love of my life,Positive,0.6369
my fav taco place at sac. I can drink their green salsa,Positive,0.4588
delicious!,Positive,0.5719
My favorite,Positive,0.4588
Tasty!,Neutral,0.0
Delicious food. Buche taco was fantastic,Positive,0.8074
Very good tacos,Positive,0.4404
Really good burrito!,Positive,0.4927
"More than what i expected, and delicious as  always.",Positive,0.5719
The best driver. So Nice. We need people like her.,Positive,0.8591
Always Tasty & Fresh!,Positive,0.3182
Always Tasty & Fresh Sandwiches!,Positive,0.3182
Great Sandwiches!,Positive,0.6249
Always Great Sandwiches!,Positive,0.6249
Love the new Pastrami Sandwiches!,Positive,0.6369
Great Cheesesteaks,Positive,0.6249
Always Tasty!,Neutral,0.0
Always fresh and tasty sandwiches!,Positive,0.3182
Always Fresh & Tasty Sandwiches!,Positive,0.3182
Always Good!,Positive,0.4404
Always Tasty Sandwiches!,Neutral,0.0
Sub was tasty,Neutral,0.0
"Great sandwich as always! Favorite is chipotle cheese steak, never disappoints!",Positive,0.8513
Great Cheesesteaks!,Positive,0.6249
Good Cheesesteaks,Positive,0.4404
New Pastrami Sandwich is really tasty!,Neutral,0.0
Great Cheese Steaks!,Positive,0.6249
Always tasty!,Neutral,0.0
Good sandwiches,Positive,0.4404
It is very fresh and tasty,Positive,0.3182
Awesome service! She was very polite and had no trouble looking for my apartment.,Positive,0.34
"DELICIOUS!!! Flavor, quality, freshness...absolutely delicious!",Positive,0.8126
The medium Cajun sauce was perfect heat the gumbo was good as well,Positive,0.8271
cool,Positive,0.3182
I love this place,Positive,0.6369
"been looking for a good Louisiana crab broil for a while now in Sacramento and i finally found it! sausages are great, crab was great, potatoes and eggs were great, shrimp is good but need to devein and remove the head. Spices were 10/10 though",Positive,0.959
"Everything we ordered was amazing! Ill probably change up the spice level next time but it was really good. definitely ordering again, hopefully we can get crab next time!",Positive,0.8712
They followed instructions,Neutral,0.0
wonderful flavors,Positive,0.5719
The best 👍,Positive,0.6369
Love this place.,Positive,0.6369
Hands down the best $12.49 delivery fee ever! Even finally got me with the pepper!,Positive,0.8126
This batch was very fresh,Positive,0.3182
Brandon is awesome!!,Positive,0.6249
Biggest and most juiciest. Perfect spice,Positive,0.5719
very yummy,Positive,0.5267
It’s good,Positive,0.4404
the oysters were delicious,Positive,0.5719
So delicious I ate it in less than 30 minutes… wish it could happen again.,Positive,0.73
Loved it,Positive,0.5994
Very tasty and fresh. Gumbo was right on.,Positive,0.3182
Good Cajun style cooking,Positive,0.4404
Lots of flavors,Neutral,0.0
the food was made to perfection,Positive,0.5719
I'm a flight attendant in town on NYE and wanted something special and it sure was great. I ordered gumbo shrimp. It was all so good. Thank you,Positive,0.926
The food was wonderful!!!  The carrier was very courteous.,Positive,0.7906
Had me licking my fingertips 🥲😆,Neutral,0.0
Great garlic Naan! I love the mix taste of the soup,Positive,0.8519
Arrived early.,Neutral,0.0
The sauce is great and the garlic nana is crispy,Positive,0.6249
Amazing Indian food,Positive,0.5859
fantastic tofu and sauce + the pork belly bowl is soo good :'),Positive,0.7579
Fast and friendly,Positive,0.4939
DA BOMB,Negative,-0.4939
Flavor is great ! Thanks,Positive,0.7906
Tasty food,Neutral,0.0
Quality fresh food!,Positive,0.3182
tasty and fresh,Positive,0.3182
Tasty food and shakes.,Negative,-0.1779
Awesome!,Positive,0.6249
Quick and tasty. My 94 year old grandma loved the milkshake!,Positive,0.5994
This was a great experience for something different. Loved the Korean burger and spicy Korean fries. I'm definitely satisfied and will order from them again!,Positive,0.926
good deal bogo free,Positive,0.7351
Great food so delish,Positive,0.6249
Good Deal,Positive,0.4404
Always fast and efficient service!!,Positive,0.4215
I love the burgers with no bun and lettuce. They are cooked perfectly and have good flavor.,Positive,0.9062
"Super fresh burgers, perfect amount of condiments on each bite!",Positive,0.872
Delicious and fresh ingredients,Positive,0.7184
GUD,Neutral,0.0
Food was so good and warm and milkshake was amazing and cold,Positive,0.8225
Top,Positive,0.2023
Great service and fast!,Positive,0.6249
Best burgers in Sacramento,Positive,0.6369
It was good. We enjoyed our meal.,Positive,0.7351
Dope,Neutral,0.0
Awesome great food!,Positive,0.8481
excellent services,Positive,0.5719
What I love about Shake Shack is the size of the burgers and the quality of the meat.,Positive,0.5423
Fresh and delicious!,Positive,0.7184
nice food,Positive,0.4215
Delicious!! Every bite,Positive,0.5719
fast and always yummy!,Positive,0.5267
First time trying it and good to really great quality if I ordered a double burger it would better since I just ordered a single! Maybe consider ordering again.,Positive,0.8805
It was great all items were here,Positive,0.6249
"Was my first time and I really like them, I’m gonna try them more often",Positive,0.4201
hhh,Neutral,0.0
always hits the spot! thank you!,Positive,0.3612
Don’t try to cap the place if you have questions. You can’t get through.,Neutral,0.0
Delicious food!,Positive,0.5719
Best burgers,Positive,0.6369
Good food.,Positive,0.4404
"These burgers are so good, but highly addicting.",Positive,0.4404
love the crisp fries!,Positive,0.6369
Chicken sandwich is better than chic fil a!! For real!!,Positive,0.6124
Their burgers are 🔥 Their burger buns alone are 🔥 They are actually made from potatoes and has that sweetness to it similar to the “Hawaiian Rolls” Their patties are so delicious and tasty 💯 % all natural angus beef. Their shakes have a scoop of frozen custard so creamy and delicious!!  They also have vegetarian options which I also enjoy! If you get French fries get it with the truffle oil. You’re welcome!,Positive,0.9531
Everything was perfect!,Positive,0.5719
Burgers and shakes. What’s not to love?!,Positive,0.5423
Best ice cream!!!!,Positive,0.6369
"Great burger and milkshake and fries, excellent",Positive,0.8316
yes great,Positive,0.7783
Cant go wrong with Shake Shack if you want a great fast food burger,Positive,0.8162
"Good burgers, good fries, good good good!",Positive,0.926
the chicken soup is a go to for me. perfect every time.,Positive,0.5719
"Delicious, good portion food and drinks as always.",Positive,0.765
"Good, I just wish they gave more rice to add-ins. FLAVOR IS UNBELIEVABLE DELICIOUS, don’t get me wrong!",Positive,0.9128
"An unprecedented yet brilliant combination of cuisines, absolutely delicious.",Positive,0.8313
I would recommend Red 88,Positive,0.3612
Really good fries,Positive,0.4927
love the Mexican/Asian fusion,Positive,0.6369
Super tasty. Great service.,Positive,0.8402
good portion size and rly tasty,Positive,0.4404
Very thoughtful packaging. Went above and beyond to make sure we had an amazing experience,Positive,0.8271
Fresh healthy food option . It’s sooooo hard to find a restaurant that has amazing salads ! I come here for the salads ❤️,Positive,0.8126
Thank you for your hard work. I truly appreciate you.,Positive,0.7717
"Excellent options besides wings. Glad I was able to get the cheesecake slice this time, unlike the first time I ordered a pickup.",Positive,0.7717
Wings were saucy and crisp,Neutral,0.0
thanks again,Positive,0.4404
Best place to get fried cheese curds outside of Wisconsin.,Positive,0.6369
Fantabules,Neutral,0.0
Bien sabor,Neutral,0.0
Best onion rings ever! Chicken is good too,Positive,0.7964
He was nice he was cordial and his timing was accurate!!! THUMBS UP👍👍,Positive,0.4215
It was good customer service.,Positive,0.4404
